Date,GDP,GDPIMPR,LOGGDP,GrowthRate,li1,li2,T
1950Q1,94.3,NA,4.5464811896,NA,0,0,0
1950Q2,95.2,1,4.5559799418,0.0094987522,0,0,1
1950Q3,97.663,1,4.581522777,0.0255428352,3,1,2
1950Q4,99.728,1,4.6024464801,0.0209237031,4,2,3
1951Q1,100.445,1,4.609610314,0.0071638339,2,1,4
1951Q2,100.406,0,4.6092219664,-0.0003883476,1,3,5
1951Q3,100.686,1,4.6120067632,0.0027847968,1,3,6
1951Q4,100.728,1,4.6124238147,0.0004170515,-1,2,7
1952Q1,100.673,0,4.6118776406,-0.0005461741,-3,4,8
1952Q2,100.596,0,4.6111124954,-0.0007651452,-4,4,9
1952Q3,101.513,1,4.6201868691,0.0090743737,-2,2,10
1952Q4,102.648,1,4.6313056596,0.0111187905,-4,1,11
1953Q1,103.792,1,4.6423888965,0.0110832369,-2,0,12
1953Q2,104.867,1,4.6526928806,0.0103039841,0,-1,13
1953Q3,105.212,1,4.6559773622,0.0032844816,0,0,14
1953Q4,105.167,0,4.6555495629,-0.0004277994,-1,1,15
1954Q1,104.8,0,4.6520537719,-0.003495791,-2,3,16
1954Q2,106.646,1,4.6695149384,0.0174611665,-3,3,17
1954Q3,107.516,1,4.6776396737,0.0081247353,-4,3,18
1954Q4,108.784,1,4.6893642648,0.0117245911,-4,3,19
1955Q1,110.794,1,4.7076726212,0.0183083564,-4,2,20
1955Q2,113.314,1,4.7301627262,0.0224901049,-4,1,21
1955Q3,115.649,1,4.7505597419,0.0203970157,-3,2,22
1955Q4,117.614,1,4.767408076,0.0168483341,-1,2,23
1956Q1,119.183,1,4.780660127,0.013252051,1,2,24
1956Q2,119.083,0,4.779820729,-0.000839398,0,3,25
1956Q3,118.72,0,4.7767677794,-0.0030529496,3,2,26
1956Q4,118.04,0,4.7710235501,-0.0057442293,3,1,27
1957Q1,119.428,1,4.7827136793,0.0116901293,3,1,28
1957Q2,119.426,0,4.7826969327,-1.67466318341525E-005,3,2,29
1957Q3,119.136,0,4.7802656977,-0.002431235,3,2,30
1957Q4,119.274,1,4.7814233674,0.0011576697,3,2,31
1958Q1,119.385,1,4.7823535649,0.0009301975,3,1,32
1958Q2,119.608,1,4.7842197289,0.001866164,2,0,33
1958Q3,119.5,0,4.7833163714,-0.0009033575,1,-2,34
1958Q4,119.461,0,4.7829899583,-0.0003264131,0,-4,35
1959Q1,119.066,0,4.7796779612,-0.0033119971,0,-6,36
1959Q2,118.917,0,4.7784257708,-0.0012521904,0,-6,37
1959Q3,119.47,1,4.7830652938,0.0046395231,1,-3,38
1959Q4,119.619,1,4.7843116918,0.0012463979,2,0,39
1960Q1,119.752,1,4.7854229376,0.0011112458,1,3,40
1960Q2,119.767,1,4.7855481886,0.000125251,3,4,41
1960Q3,120.393,1,4.7907613916,0.005213203,4,3,42
1960Q4,119.827,0,4.7860490359,-0.0047123557,4,3,43
1961Q1,119.245,0,4.7811802002,-0.0048688357,3,2,44
1961Q2,118.75,0,4.7770204429,-0.0041597573,3,1,45
1961Q3,118.384,0,4.7739335782,-0.0030868647,3,-2,46
1961Q4,118.436,1,4.7743727303,0.0004391521,1,-4,47
1962Q1,119.053,1,4.7795687721,0.0051960418,-1,-5,48
1962Q2,119.346,1,4.7820268374,0.0024580652,-2,-6,49
1962Q3,119.211,0,4.7808950323,-0.0011318051,-1,-7,50
1962Q4,118.671,0,4.7763549584,-0.0045400739,1,-6,51
1963Q1,118.602,0,4.7757733498,-0.0005816085,2,-6,52
1963Q2,118.603,1,4.7757817814,8.43152547336246E-006,1,-6,53
1963Q3,118.134,0,4.7718195734,-0.003962208,2,-5,54
1963Q4,117.838,0,4.7693107998,-0.0025087735,1,-3,55
1964Q1,118.168,1,4.7721073407,0.0027965409,1,0,56
1964Q2,117.635,0,4.7675866102,-0.0045207305,1,3,57
1964Q3,117.614,0,4.767408076,-0.0001785342,1,4,58
1964Q4,117.831,1,4.7692513945,0.0018433185,1,3,59
1965Q1,117.854,1,4.7694465703,0.0001951758,0,3,60
1965Q2,117.4,0,4.7655869074,-0.0038596629,-1,1,61
1965Q3,117.2,0,4.7638818771,-0.0017050303,-2,-2,62
1965Q4,119.218,1,4.7809537499,0.0170718728,-1,-4,63
1966Q1,120.292,1,4.7899221204,0.0089683704,0,-5,64
1966Q2,120.781,1,4.7939789884,0.004056868,0,-7,65
1966Q3,121.337,1,4.7985717983,0.0045928099,1,-9,66
1966Q4,121.944,1,4.803561923,0.0049901247,0,-8,67
1967Q1,122.318,1,4.8066242109,0.003062288,0,-6,68
1967Q2,123.06,1,4.8126720413,0.0060478304,2,-5,69
1967Q3,123.142,1,4.813338161,0.0006661197,0,-3,70
1967Q4,123.716,1,4.8179886162,0.0046504552,-2,-1,71
1968Q1,124.483,1,4.8241691604,0.0061805442,-3,2,72
1968Q2,124.718,1,4.8260551887,0.0018860283,-3,2,73
1968Q3,125.31,1,4.8307906672,0.0047354785,-2,2,74
1968Q4,126.33,1,4.8388975308,0.0081068637,-1,1,75
1969Q1,126.653,1,4.8414510635,0.0025535327,-1,-1,76
1969Q2,127.065,1,4.8446987666,0.0032477031,2,-3,77
1969Q3,127.419,1,4.8474808686,0.002782102,4,-4,78
1969Q4,127.85,1,4.8508577017,0.0033768331,3,-6,79
1970Q1,127.276,0,4.8463579568,-0.004499745,1,-8,80
1970Q2,126.952,0,4.8438090623,-0.0025488945,0,-10,81
1970Q3,126.994,1,4.8441398412,0.000330779,-1,-11,82
1970Q4,127.019,1,4.8443366816,0.0001968403,-1,-11,83
1971Q1,127.084,1,4.8448482851,0.0005116036,1,-11,84
1971Q2,128.42,1,4.8553061424,0.0104578572,0,-10,85
1971Q3,130.187,1,4.8689718784,0.013665736,-2,-8,86
1971Q4,132.473,1,4.8863788511,0.0174069727,0,-5,87
1972Q1,134.277,1,4.8999048305,0.0135259794,2,-2,88
1972Q2,134.154,0,4.8989883938,-0.0009164367,4,-1,89
1972Q3,133.907,0,4.8971455291,-0.0018428646,3,-1,90
1972Q4,133.269,0,4.892369642,-0.0047758872,3,0,91
1973Q1,132.834,0,4.8891002284,-0.0032694136,2,2,92
1973Q2,132.749,0,4.8884601271,-0.0006401012,0,3,93
